user_text,age_group,sex,body_part,red_flags_present,duration_days,pain_score,symptom_count,primary_disease
"for the last few days i have had very unwell, fast heartbeat, weakness, vomiting, reduced urination and no urination all day for 11 days. my pain score is 9 out of 10.",older adult,male,whole body,yes,11,9,6,sepsis
"today i noticed blurred vision, fatigue, increased thirst and frequent urination for 3 days. my pain score is 2 out of 10.",teen,not specified,whole body,no,3,2,4,hyperglycemia
i have dizziness and dry mouth today. my pain score is 3 out of 10.,teen,not specified,whole body,no,0,3,2,dehydration
"i have dull headache, pressure around head and neck tightness for 2 days. my pain score is 1 out of 10.",older adult,male,head,no,2,1,3,tension headache
"today i noticed chest pain when breathing, fever and shortness of breath today. my pain score is 3 out of 10.",child,male,chest,no,0,3,3,pneumonia
"i've got light sensitivity, neck stiffness, fever, severe headache, vomiting, very unwell, confusion and one-sided headache for 7 days. my pain score is 10 out of 10.",teen,not specified,head/neck,yes,7,10,8,meningitis
"for the last few days i have had burning urination, flank pain, nausea and fever for 3 days. my pain score is 2 out of 10.",older adult,not specified,back/abdomen,no,3,2,4,kidney infection
"for the last few days i have had sneezing, mild cough and sore throat today. my pain score is 1 out of 10.",older adult,not specified,head/chest,no,0,1,3,common cold
"i have mild fever, fatigue, chest discomfort and mucus for 4 days. my pain score is 4 out of 10.",child,male,chest,no,4,4,4,bronchitis
i've got muscle tightness and recent lifting for 3 days. my pain score is 1 out of 10.,older adult,male,back/arm/leg,no,3,1,2,muscle strain
for the last few days i have had diarrhea and nausea for 2 days. my pain score is 3 out of 10.,older adult,male,abdomen,no,2,3,2,gastroenteritis
i've got light sensitivity and one-sided headache for 2 days. my pain score is 2 out of 10.,older adult,male,head,yes,2,2,2,migraine
"i feel ate suspicious food, diarrhea and nausea for 3 days. my pain score is 3 out of 10.",teen,male,abdomen,no,3,3,3,food poisoning
"i've got nausea, diarrhea, stomach cramps, fever, blood in stool and confusion for 7 days. my pain score is 7 out of 10.",older adult,female,abdomen,yes,7,7,6,gastroenteritis
"today i noticed face drooping, speech difficulty, arm weakness, sudden confusion, loss of balance, dizziness, sudden severe headache, cannot speak and fear for 7 days. my pain score is 9 out of 10.",adult,male,head/face/arm,yes,7,9,9,stroke
"i have vomiting, nausea, stomach cramps and ate suspicious food for 2 days. my pain score is 3 out of 10.",older adult,female,abdomen,yes,2,3,4,gastroenteritis
"i feel headache, blocked nose, facial pressure and fever for 7 days. my pain score is 4 out of 10.",adult,male,head,yes,7,4,4,sinusitis
"my symptoms are fear, racing heart, dizziness and tingling fingers for 4 days. my pain score is 6 out of 10.",adult,male,chest/whole body,no,4,6,4,anxiety or panic attack
"for the last few days i have had nausea, chest tightness, chest pressure, sweating, jaw pain, shortness of breath, pain spreading to arm and fainting for 1 day. my pain score is 9 out of 10.",adult,male,chest,yes,1,9,8,heart attack
"i have itchy rash, dry skin and warm skin for 1 day. my pain score is 3 out of 10.",adult,female,skin,no,1,3,3,eczema flare
"for the last few days i have had burning chest discomfort, acid reflux, sour taste, heartburn and loss of appetite for 3 days. my pain score is 2 out of 10.",adult,female,chest/abdomen,no,3,2,5,gerd
"i have difficulty moving, swelling, bruising and injury today. my pain score is 3 out of 10.",child,male,arm/leg,no,0,3,4,fracture or sprain
"today i noticed difficulty moving, injury, joint pain and swelling today. my pain score is 1 out of 10.",older adult,female,arm/leg,no,0,1,4,fracture or sprain
"for the last few days i have had very unwell, fast heartbeat, weakness, rapid breathing and blue lips for 1 day. my pain score is 9 out of 10.",adult,male,whole body,yes,1,9,5,sepsis
"i am experiencing loss of appetite, fever, nausea, right lower abdominal pain, pain worse with movement and vomiting for 6 days. my pain score is 7 out of 10.",adult,female,abdomen,no,6,7,6,appendicitis
for the last few days i have had mild cough and runny nose for 2 days. my pain score is 3 out of 10.,child,not specified,head/chest,no,2,3,2,common cold
"today i noticed one-sided headache, nausea, sound sensitivity and dull headache for 1 day. my pain score is 3 out of 10.",teen,not specified,head,no,1,3,4,migraine
today i noticed scaly skin and itchy rash for 3 days. my pain score is 3 out of 10.,adult,not specified,skin,no,3,3,2,eczema flare
"i have chest pain when breathing, shortness of breath and cough today. my pain score is 2 out of 10.",teen,male,chest,yes,0,2,3,pneumonia
"for the last few days i have had blocked nose, sneezing, headache, fatigue and fever for 5 days. my pain score is 4 out of 10.",older adult,female,head/chest,no,5,4,5,common cold
"for the last few days i have had sour taste, heartburn and acid reflux for 2 days. my pain score is 2 out of 10.",child,not specified,chest/abdomen,no,2,2,3,gerd
i am experiencing nausea and burning urination for 3 days. my pain score is 3 out of 10.,adult,male,back/abdomen,no,3,3,2,kidney infection
"my symptoms are localized pain, recent lifting, muscle tightness and flank pain today. my pain score is 1 out of 10.",adult,not specified,back/arm/leg,no,0,1,4,muscle strain
"i've got joint pain, injury, difficulty moving, bruising, deformity, severe tenderness and pain worse with movement for 3 days. my pain score is 3 out of 10.",adult,female,arm/leg,yes,3,3,7,fracture or sprain
"i've got sound sensitivity, light sensitivity, nausea, one-sided headache, vomiting, visual aura and dizziness for 7 days. my pain score is 5 out of 10.",child,not specified,head,no,7,5,7,migraine
"for the last few days i have had cough, chest pain when breathing, fever, shortness of breath, chills, fatigue and green mucus for 7 days. my pain score is 7 out of 10.",child,male,chest,no,7,7,7,pneumonia
"i am experiencing red skin, warm skin, skin pain, swelling, pus and fever for 3 days. my pain score is 3 out of 10.",child,male,skin/leg/arm,no,3,3,6,cellulitis
"for the last few days i have had watery eyes, runny nose, blocked nose, itchy eyes, sinus pressure, poor sleep and cough for 5 days. my pain score is 6 out of 10.",adult,male,head,no,5,6,7,allergic rhinitis
"i feel lower abdominal pain, burning urination, frequent urination, cloudy urine, back pain and nausea for 5 days. my pain score is 7 out of 10.",child,male,pelvis/abdomen,no,5,7,6,urinary tract infection
"my symptoms are sore throat, fatigue, fever and sneezing for 1 day. my pain score is 3 out of 10.",older adult,male,whole body,no,1,3,4,covid-like viral illness
"for the last few days i have had fatigue, body aches and loss of smell for 3 days. my pain score is 2 out of 10.",teen,male,whole body,yes,3,2,3,influenza
"i am experiencing fullness in ear, reduced hearing and ear pain for 2 days. my pain score is 3 out of 10.",child,not specified,ear/head,no,2,3,3,ear infection
"i've got sweating, nausea, chest tightness, chest pressure and pain spreading to arm for 3 days. my pain score is 7 out of 10.",adult,female,chest,no,3,7,5,heart attack
"my symptoms are fatigue, thirst, reduced urination and headache for 4 days. my pain score is 7 out of 10.",adult,female,whole body,no,4,7,4,dehydration
"today i noticed dry cough, fever, loss of smell, headache and body aches for 6 days. my pain score is 6 out of 10.",teen,male,whole body,yes,6,6,5,covid-like viral illness
"today i noticed frequent urination, cloudy urine, fever and blood in urine for 2 days. my pain score is 4 out of 10.",child,female,pelvis/abdomen,no,2,4,4,urinary tract infection
"my symptoms are fatigue, pale skin, dizziness and headache for 3 days. my pain score is 6 out of 10.",teen,female,whole body,no,3,6,4,anemia
"for the last few days i have had fever, fatigue, body aches, headache, loss of appetite and sore throat for 3 days. my pain score is 3 out of 10.",child,not specified,whole body,no,3,3,6,influenza
i feel sore throat and loss of smell today. my pain score is 1 out of 10.,adult,not specified,whole body,yes,0,1,2,covid-like viral illness
"i've got sweating, chest tightness, pain spreading to arm, jaw pain, crushing chest pain and sour taste for 14 days. my pain score is 9 out of 10.",adult,not specified,chest,yes,14,9,6,heart attack
"today i noticed neck stiffness, light sensitivity, vomiting, drowsiness and rash for 5 days. my pain score is 3 out of 10.",adult,not specified,head/neck,yes,5,3,5,meningitis
my symptoms are fever and fatigue for 3 days. my pain score is 3 out of 10.,teen,female,whole body,no,3,3,2,covid-like viral illness
"my symptoms are fatigue, body aches and sore throat for 5 days. my pain score is 5 out of 10.",adult,female,whole body,no,5,5,3,influenza
"today i noticed runny nose, blocked nose and fever today. my pain score is 3 out of 10.",child,male,head/chest,no,0,3,3,common cold
"i feel fever, flank pain and vomiting for 5 days. my pain score is 4 out of 10.",adult,female,back/abdomen,no,5,4,3,kidney infection
"i've got sore throat, sneezing, mild cough, runny nose, fever and fatigue for 3 days. my pain score is 6 out of 10.",adult,male,head/chest,yes,3,6,6,common cold
my symptoms are itchy rash and dry skin for 1 day. my pain score is 3 out of 10.,child,female,skin,no,1,3,2,eczema flare
"today i noticed eye discharge, watery eye, red eye, itchy eye, light sensitivity, gritty feeling and mild eyelid swelling for 5 days. my pain score is 3 out of 10.",older adult,not specified,eye,yes,5,3,7,conjunctivitis
"i am experiencing sweating, weakness, fast heartbeat and cannot swallow for 7 days. my pain score is 7 out of 10.",teen,female,whole body,yes,7,7,4,hypoglycemia
"i've got nausea, diarrhea, weakness, dehydration and fever for 4 days. my pain score is 7 out of 10.",older adult,not specified,abdomen,yes,4,7,5,food poisoning
"for the last few days i have had burning urination, cloudy urine, back pain, fever, blood in urine and very unwell for 10 days. my pain score is 10 out of 10.",teen,female,pelvis/abdomen,yes,10,10,6,urinary tract infection
"for the last few days i have had ate suspicious food, vomiting, weakness, dehydration and severe dehydration for 4 days. my pain score is 7 out of 10.",adult,female,abdomen,yes,4,7,5,food poisoning
"today i noticed vomiting, nausea, ate suspicious food, stomach cramps and dehydration for 6 days. my pain score is 5 out of 10.",teen,not specified,abdomen,no,6,5,5,food poisoning
"today i noticed fever, ear pain, poor sleep, swelling behind ear and blocked nose for 13 days. my pain score is 10 out of 10.",teen,female,ear/head,yes,13,10,5,ear infection
"i've got pain worse with movement, recent lifting, localized pain and muscle tightness for 2 days. my pain score is 3 out of 10.",older adult,female,back/arm/leg,no,2,3,4,muscle strain
"my symptoms are neck stiffness, severe headache, rash, vomiting, drowsiness, very unwell and non-blanching rash for 13 days. my pain score is 8 out of 10.",older adult,male,head/neck,yes,13,8,7,meningitis
"i've got one-sided headache, nausea, sound sensitivity, light sensitivity, dizziness and neck tightness for 3 days. my pain score is 5 out of 10.",child,not specified,head,no,3,5,6,migraine
"today i noticed shortness of breath, chest pain when breathing, cough and fatigue for 2 days. my pain score is 1 out of 10.",adult,not specified,chest,no,2,1,4,pneumonia
"i feel fever, loss of smell, fatigue, dry cough and headache for 7 days. my pain score is 7 out of 10.",teen,female,whole body,yes,7,7,5,covid-like viral illness
"for the last few days i have had nausea, flank pain, burning urination, chills, vomiting, blood in urine, low blood pressure and sepsis signs for 13 days. my pain score is 9 out of 10.",teen,male,back/abdomen,yes,13,9,8,kidney infection
i have loss of smell and fever for 3 days. my pain score is 3 out of 10.,older adult,female,whole body,no,3,3,2,covid-like viral illness
"i've got chest pressure, chest tightness, sweating, pain spreading to arm, severe shortness of breath and crushing chest pain for 12 days. my pain score is 9 out of 10.",teen,not specified,chest,yes,12,9,6,heart attack
"my symptoms are shortness of breath, cough, wheezing, chest tightness, waking at night, needs reliever inhaler and exercise trigger for 4 days. my pain score is 6 out of 10.",teen,female,chest,yes,4,6,7,asthma flare
"for the last few days i have had runny nose, mild cough, sore throat and blocked nose for 1 day. my pain score is 1 out of 10.",adult,male,head/chest,no,1,1,4,common cold
"today i noticed frequent urination, cloudy urine, back pain, fever, blood in urine and right lower abdominal pain for 6 days. my pain score is 7 out of 10.",adult,male,pelvis/abdomen,yes,6,7,6,urinary tract infection
"today i noticed dizziness, dark urine, dry mouth, headache and no urination all day for 9 days. my pain score is 10 out of 10.",older adult,not specified,whole body,yes,9,10,5,dehydration
"my symptoms are neck stiffness, severe headache, light sensitivity, rash, vomiting, non-blanching rash and seizure for 7 days. my pain score is 7 out of 10.",older adult,male,head/neck,yes,7,7,7,meningitis
"i have bruising, difficulty moving and swelling for 3 days. my pain score is 2 out of 10.",teen,male,arm/leg,no,3,2,3,fracture or sprain
"for the last few days i have had blocked nose, sore throat, runny nose and mild cough for 2 days. my pain score is 1 out of 10.",teen,female,head/chest,no,2,1,4,common cold
"i have cloudy urine, frequent urination, back pain, blood in urine, fever, very unwell and flank pain with fever for 12 days. my pain score is 10 out of 10.",older adult,female,pelvis/abdomen,yes,12,10,7,urinary tract infection
"i've got shaking, weakness, sweating, headache, seizure and unconscious for 4 days. my pain score is 8 out of 10.",older adult,not specified,whole body,yes,4,8,6,hypoglycemia
"today i noticed neck stiffness, fever, severe headache, drowsiness, very unwell and shivering for 9 days. my pain score is 8 out of 10.",adult,not specified,head/neck,yes,9,8,6,meningitis
"i've got gum swelling, facial swelling, tooth pain, bad taste and light sensitivity for 2 days. my pain score is 3 out of 10.",child,female,mouth/face,no,2,3,5,dental abscess
"i have stomach cramps, vomiting, nausea, ate suspicious food and dehydration for 5 days. my pain score is 6 out of 10.",adult,male,abdomen,yes,5,6,5,food poisoning
i've got burning chest discomfort and sour taste for 3 days. my pain score is 1 out of 10.,adult,female,chest/abdomen,yes,3,1,2,gerd
"today i noticed arm weakness, face drooping, speech difficulty, sudden confusion, vision trouble, dizziness, cannot speak and shaking for 12 days. my pain score is 8 out of 10.",teen,male,head/face/arm,yes,12,8,8,stroke
"i feel dry skin, itchy rash, red patches, sleep disturbance, cracked skin, fever with rash and rapidly spreading redness for 12 days. my pain score is 9 out of 10.",child,male,skin,yes,12,9,7,eczema flare
"i've got light sensitivity, neck stiffness, fever, vomiting, drowsiness and chills for 5 days. my pain score is 3 out of 10.",teen,female,head/neck,yes,5,3,6,meningitis
"i have fever, neck stiffness, light sensitivity, severe headache and body aches for 3 days. my pain score is 2 out of 10.",adult,male,head/neck,no,3,2,5,meningitis
"my symptoms are fever, severe headache, light sensitivity, neck stiffness, drowsiness and rash for 5 days. my pain score is 6 out of 10.",child,female,head/neck,no,5,6,6,meningitis
"today i noticed nausea, sound sensitivity, visual aura, vomiting and dizziness for 6 days. my pain score is 6 out of 10.",teen,male,head,no,6,6,5,migraine
"i have burning urination, lower abdominal pain, frequent urination, back pain and blood in urine for 4 days. my pain score is 4 out of 10.",adult,male,pelvis/abdomen,no,4,4,5,urinary tract infection
"for the last few days i have had sore throat, fever, loss of smell, dry cough and body aches for 5 days. my pain score is 7 out of 10.",adult,male,whole body,no,5,7,5,covid-like viral illness
"i feel one-sided headache, light sensitivity, sound sensitivity, nausea, vomiting and visual aura for 4 days. my pain score is 5 out of 10.",teen,male,head,yes,4,5,6,migraine
today i noticed loss of appetite and upper abdominal pain for 3 days. my pain score is 3 out of 10.,teen,not specified,abdomen,yes,3,3,2,gastritis
"my symptoms are hunger, weakness, sweating, shaking, confusion, fast heartbeat and unconscious for 2 days. my pain score is 9 out of 10.",teen,not specified,whole body,yes,2,9,7,hypoglycemia
"i have difficulty moving, bruising, swelling, severe tenderness, deformity and cannot bear weight for 6 days. my pain score is 6 out of 10.",child,female,arm/leg,yes,6,6,6,fracture or sprain
i feel stress and dull headache for 1 day. my pain score is 3 out of 10.,child,male,head,no,1,3,2,tension headache
"i am experiencing dizziness, fatigue and dry mouth for 2 days. my pain score is 3 out of 10.",older adult,male,whole body,yes,2,3,3,dehydration
"i have dizziness, thirst, reduced urination, fast heartbeat, headache and shortness of breath on exertion for 7 days. my pain score is 6 out of 10.",teen,not specified,whole body,no,7,6,6,dehydration
"my symptoms are nausea, light sensitivity, vomiting, visual aura, dizziness and headache for 4 days. my pain score is 5 out of 10.",adult,male,head,yes,4,5,6,migraine
"i am experiencing sour taste, burning chest discomfort, heartburn, nausea, cough after meals, worse lying down and shortness of breath for 2 days. my pain score is 6 out of 10.",adult,male,chest/abdomen,yes,2,6,7,gerd
"i've got wheezing, chest tightness and waking at night for 6 days. my pain score is 3 out of 10.",adult,male,chest,no,6,3,3,asthma flare
"i've got dull headache, pressure around head, stress and one-sided headache today. my pain score is 3 out of 10.",adult,female,head,yes,0,3,4,tension headache
"i have right lower abdominal pain, nausea, vomiting and abdominal tenderness for 2 days. my pain score is 6 out of 10.",older adult,male,abdomen,no,2,6,4,appendicitis
"my symptoms are nausea, one-sided headache and light sensitivity today. my pain score is 1 out of 10.",teen,not specified,head,no,0,1,3,migraine
"i have body aches, fever, fatigue and chills for 1 day. my pain score is 3 out of 10.",older adult,female,whole body,yes,1,3,4,influenza
"today i noticed fullness in ear, fever, poor sleep, swelling behind ear and severe headache for 4 days. my pain score is 8 out of 10.",teen,not specified,ear/head,yes,4,8,5,ear infection
"i feel nausea, diarrhea, stomach cramps, dehydration, fever and body aches for 7 days. my pain score is 6 out of 10.",older adult,female,abdomen,no,7,6,6,gastroenteritis
"i am experiencing nausea, fever, flank pain, vomiting, chills, blood in urine, very unwell and lower abdominal pain for 11 days. my pain score is 10 out of 10.",older adult,female,back/abdomen,yes,11,10,8,kidney infection
"i am experiencing blocked nose, watery eyes, sneezing, runny nose, poor sleep, cough and sinus pressure for 2 days. my pain score is 3 out of 10.",child,male,head,no,2,3,7,allergic rhinitis
"i've got fatigue, chest discomfort, mild fever, productive cough, wheezing and mild cough for 4 days. my pain score is 4 out of 10.",teen,male,chest,no,4,4,6,bronchitis
"my symptoms are blurred vision, fatigue and frequent urination today. my pain score is 2 out of 10.",teen,male,whole body,no,0,2,3,hyperglycemia
"my symptoms are shortness of breath on exertion, pale skin, fatigue, headache, cold hands, fast heartbeat and fainting for 5 days. my pain score is 7 out of 10.",child,male,whole body,yes,5,7,7,anemia
